x	y	z
-2	-2	-1.0416
-2	-1.8	-0.97664
-2	-1.6	-0.81197
-2	-1.4	-0.67475
-2	-1.2	-0.57183
-2	-1	-0.55054
-2	-0.8	-0.42577
-2	-0.6	-0.30509
-2	-0.4	-0.26406
-2	-0.2	-0.12515
-2	0	-0.018866
-2	0.2	0.089433
-2	0.4	0.13257
-2	0.6	0.33066
-2	0.8	0.41211
-2	1	0.34447
-2	1.2	0.50875
-2	1.4	0.64708
-2	1.6	0.66276
-2	1.8	0.94175
-2	2	0.97504
-1.8	-2	-1.0382
-1.8	-1.8	-1.027
-1.8	-1.6	-0.86064
-1.8	-1.4	-0.68565
-1.8	-1.2	-0.63419
-1.8	-1	-0.53087
-1.8	-0.8	-0.44033
-1.8	-0.6	-0.37342
-1.8	-0.4	-0.32593
-1.8	-0.2	-0.063284
-1.8	0	-0.13814
-1.8	0.2	0.052356
-1.8	0.4	0.14906
-1.8	0.6	0.33316
-1.8	0.8	0.31334
-1.8	1	0.50291
-1.8	1.2	0.50439
-1.8	1.4	0.63998
-1.8	1.6	0.76724
-1.8	1.8	0.7821
-1.8	2	0.96016
-1.6	-2	-1.0357
-1.6	-1.8	-1.0192
-1.6	-1.6	-0.79391
-1.6	-1.4	-0.85746
-1.6	-1.2	-0.58435
-1.6	-1	-0.62453
-1.6	-0.8	-0.51011
-1.6	-0.6	-0.46939
-1.6	-0.4	-0.42126
-1.6	-0.2	-0.23956
-1.6	0	-0.094271
-1.6	0.2	0.017762
-1.6	0.4	-0.0074301
-1.6	0.6	0.080198
-1.6	0.8	0.25448
-1.6	1	0.37856
-1.6	1.2	0.59714
-1.6	1.4	0.56082
-1.6	1.6	0.68569
-1.6	1.8	0.8237
-1.6	2	0.85003
-1.4	-2	-1.253
-1.4	-1.8	-1.1768
-1.4	-1.6	-0.93846
-1.4	-1.4	-0.87294
-1.4	-1.2	-0.71493
-1.4	-1	-0.71991
-1.4	-0.8	-0.54676
-1.4	-0.6	-0.39473
